,year,semester,subjectCode,num,time,course
36,2013,1,GEK20044,1,"M6,M7",GEK20044.1
37,2013,1,GEK20045,1,"M3,Th3",GEK20045.1
38,2013,1,GEK20053,1,"M3,Th3",GEK20053.1
39,2013,1,GEK30014,2,"M5,Th5",GEK30014.2
40,2013,1,GEK30046,1,"M3,Th3",GEK30046.1
41,2013,1,GEK40094,1,M4,GEK40094.1
42,2013,1,GEK40096,1,"M4,Th4",GEK40096.1
43,2013,1,GEK40096,2,"M4,M5",GEK40096.2
44,2013,1,ISL10071,1,"M2,Th2",ISL10071.1
45,2013,1,ISL10071,2,"M5,Th5",ISL10071.2
46,2013,1,ISL10074,1,"M3,Th3",ISL10074.1
47,2013,1,ISL10075,2,"M3,Th3",ISL10075.2
48,2013,1,ISL10075,4,"M4,Th4",ISL10075.4
49,2013,1,ISL10075,6,"M2,Th2",ISL10075.6
50,2013,1,ISL10075,7,"M3,Th3",ISL10075.7
51,2013,1,ISL10075,8,"M4,Th4",ISL10075.8
52,2013,1,ISL10075,9,"M5,Th5",ISL10075.9
53,2013,1,ISL10075,11,"M3,Th3",ISL10075.11
54,2013,1,ISL10091,1,"M5,Th5",ISL10091.1
55,2013,1,ISL10091,2,"M6,Th6",ISL10091.2
56,2013,1,ISL20077,1,"M2,Th2",ISL20077.1
57,2013,1,ISL30036,1,"M6,Th6",ISL30036.1
58,2013,1,PCO10012,1,"M1,Th1",PCO10012.1
59,2013,1,PCO10012,2,"M2,Th2",PCO10012.2
60,2013,1,PCO10012,3,"M3,Th3",PCO10012.3
61,2013,1,PCO10012,4,"M3,Th3",PCO10012.4
62,2013,1,PCO10012,5,"M4,Th4",PCO10012.5
63,2013,1,PCO10012,6,"M6,Th6",PCO10012.6
64,2013,1,PCO10012,7,"M2,Th2",PCO10012.7
65,2013,1,PCO10012,8,"M4,Th4",PCO10012.8
